time,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
15.39,0.19582588997689995,-0.11626546508936954,0.20041498425824195,-1.493237351525779,-1.6584309489722568,9.67775491994089
15.4,0.19645128118669888,-0.1159827344298644,0.2007542829402828,-1.4881063805805903,-1.6080881129454656,9.684439226468555
15.41,0.19706423840531265,-0.11569436658945868,0.20109043786214734,-1.4828155866908777,-1.5575762680966587,9.690978266702418
15.42,0.19766471812108666,-0.11540039964763216,0.20142340135609454,-1.477364364128264,-1.5069003627321709,9.697369800319704
15.43,0.1982526775988168,-0.11510087225650201,0.2017531258945804,-1.4717521377498506,-1.4560653772888665,9.703611632041182
15.44,0.19882807488319332,-0.1147958236356637,0.20207956410171132,-1.4659783632030456,-1.405076323603411,9.709701612470708
15.450000000000001,0.1993908688021995,-0.1144852935668692,0.20240266876464022,-1.4600425271233943,-1.3539382441674834,9.715637638919858
15.46,0.19994101897046182,-0.11416932238854585,0.2027223928448976,-1.4539441473253474,-1.3026562113693012,9.721417656217135
15.47,0.20047848579255428,-0.11384795099015392,0.20303868948965717,-1.4476827729859332,-1.2512353267215002,9.727039657501432
15.48,0.2010032304662541,-0.11352122080638577,0.20335151204293142,-1.4412579848212477,-1.1996807200757407,9.732501684999363
15.49,0.20151521498575015,-0.11318917381120677,0.20366081405669265,-1.4346693952557226,-1.1479975488242251,9.73780183078604
15.5,0.20201440214480232,-0.11285185251173944,0.2039665493019169,-1.4279166485841155,-1.0961909970883925,9.742938237529042
15.51,0.20250075553985364,-0.11250929994199074,0.2042686717795479,-1.4209994211261636,-1.0442662748949851,9.747909099215095
15.52,0.20297423957309202,-0.11216155965642569,0.20456713573137525,-1.4139174213738779,-0.9922286173398795,9.752712661859183
15.530000000000001,0.20343481945546407,-0.11180867572338626,0.20486189565082621,-1.4066703901313906,-0.9400832837397963,9.757347224195735
15.540000000000001,0.20388246120963874,-0.11145069271835945,0.20515290629366537,-1.399258100647341,-0.8878355567723624,9.761811138351526
15.55,0.20431713167292131,-0.1110876557170933,0.20544012268860054,-1.3916803587397566,-0.8354907416046081,9.766102810500016
15.56,0.2047387985001178,-0.11071961028856438,0.20572350014779042,-1.3839370029133684,-0.7830541650103657,9.77022070149671
15.57,0.2051474301663482,-0.11034660248779735,0.20600299427725116,-1.376027904469346,-0.7305311744768087,9.77416332749534
15.58,0.20554299596980954,-0.10996867884853877,0.20627856098715855,-1.367952967607402,-0.677927137300469,9.777929260544473
15.59,0.20592546603448833,-0.10958588637578591,0.2065501565020429,-1.3597121295202288,-0.6252474396729928,9.781517129164289
15.6,0.2062948113128207,-0.10919827253817385,0.20681773737087292,-1.3513053604802672,-0.5724974857570927,9.784925618903232
15.610000000000001,0.2066510035883021,-0.10880588526022085,0.2070812604770262,-1.3427326639187278,-0.5196826967528733,9.788153472874244
15.620000000000001,0.20699401547804477,-0.10840877291443611,0.20734068304814238,-1.3339940764968794,-0.46680850995506645,9.79119949227034
15.63,0.2073238204352828,-0.10800698431328999,0.2075959626658566,-1.3250896681695619,-0.4138803778013186,9.794062536859192
15.64,0.20764039275182566,-0.1076005687010495,0.2078470572754107,-1.3160195422409107,-0.36090376691205706,9.796741525456607
15.65,0.207943707560458,-0.10718957574548157,0.20809392519513784,-1.306783835412257,-0.30788415712223055,9.79923543637845
15.66,0.20823374083728755,-0.10677405552942609,0.20833652512581938,-1.2973827178222042,-0.25482704050531857,9.801543307870977
15.67,0.20851046940403942,-0.10635405854223999,0.20857481615991003,-1.28781639307885,-0.20173792038992225,9.803664238519254
15.68,0.20877387093029645,-0.10592963567111682,0.2088087577906291,-1.2780850982841654,-0.1486223103694512,9.805597387633442
15.69,0.20902392393568708,-0.10550083819228158,0.20903830992091524,-1.268189104050482,-0.09548573330513943,9.807341975612784
15.700000000000001,0.20926060779201808,-0.10506771776206543,0.20926343287224178,-1.2581287145091153,-0.04233372032290596,9.808897284287083
15.71,0.20948390272535372,-0.10463032640786261,0.20948408739328994,-1.2479042673110956,0.010828190195531192,9.810262657235478
15.72,0.20969378981804018,-0.10418871651896941,0.20970023466847834,-1.2375161336200144,0.06399445362708435,9.811437500082377
15.73,0.20989025101067563,-0.10374294083731207,0.20991183632634564,-1.2269647180969825,0.11715952012655889,9.812421280770318
15.74,0.2100732691040248,-0.10329305244806351,0.21011885444778372,-1.2162504588776994,0.1703178356505386,9.813213529809714
15.75,0.21024282776087905,-0.1028391047701512,0.21032125157412007,-1.2053738275416257,0.22346384298546512,9.813813840505247
15.76,0.21039891150786016,-0.10238115154666196,0.21051899071504637,-1.1943353290733032,0.2765919827793717,9.81422186915879
15.77,0.2105415057371693,-0.10191924683514272,0.2107120353563914,-1.1831355018157799,0.32969669457700157,9.814437335248826
15.780000000000001,0.2106705967082794,-0.10145344499780316,0.21090034946773678,-1.1717749174161818,0.38277241785776395,9.814460021586148
15.790000000000001,0.21078617154957227,-0.10098380069162233,0.21108389750987144,-1.1602541807634437,0.4358135930760865,9.814289774445813
15.8,0.21088821825991816,-0.10051036885836023,0.2112626444420864,-1.1485739299181994,0.4888146627039337,9.813926503675233
15.81,0.21097672571020007,-0.10003320471448109,0.21143655572930467,-1.136734836034861,0.5417700722747534,9.81337018277837
15.82,0.2110516836447801,-0.09955236374098865,0.21160559734904633,-1.1247376032759084,0.5946742714286171,9.812620848975923
15.83,0.21111308268291,-0.09906790167317676,0.21176973579822636,-1.1125829687183857,0.6475217149581025,9.8116786032415
15.84,0.2111609143200835,-0.09857987449030035,0.21192893809978394,-1.1002717022526838,0.7003068638543617,9.81054361031369
15.85,0.2111951709293316,-0.09808833840516748,0.21208317180914185,-1.0878046064735707,0.753024186353082,9.809216098684098
15.860000000000001,0.21121584576246058,-0.0975933498536575,0.21223240502049348,-1.0751825165635416,0.8056681589797846,9.807696360561208
15.870000000000001,0.21122293295123207,-0.09709496548416881,0.21237660637291703,-1.0624063001685118,0.8582332675940022,9.805984751810184
15.88,0.21121642750848466,-0.09659324214699669,0.212515745056316,-1.0494768572658701,0.9107140084320928,9.804081691868523
15.89,0.21119632532919808,-0.09608823688364856,0.21264979081718255,-1.036395120024955,0.9631048891479518,9.80198766363769
15.9,0.21116262319149848,-0.09558000691609767,0.21277871396418532,-1.023162052659968,1.0154004298513715,9.799703213350611
15.91,0.2111153187576058,-0.09506860963597782,0.21290248537357856,-1.0097786512753653,1.0675951641436043,9.797228950415288
15.92,0.21105441057472163,-0.09455410259372585,0.21302107649443242,-0.9962459437038084,1.1196836401495633,9.794565547234345
15.93,0.21097989807585868,-0.09403654348767107,0.2131344593536837,-0.9825649893366519,1.1716604215463702,9.791713739000762
15.94,0.21089178158061142,-0.09351599015307899,0.21324260656100535,-0.9687368789470775,1.2235200885876947,9.78867432346981
15.950000000000001,0.21079006229586725,-0.09299250055115046,0.21334549131349442,-0.9547627345058829,1.2752572391234966,9.785448160707228
15.96,0.2106747423164582,-0.09246613275798043,0.21344308740017823,-0.9406437089900042,1.3268664896147322,9.782036172813891
15.97,0.2105458246257533,-0.09193694495347976,0.21353536920633748,-0.9263809861837955,1.3783424761426348,9.77843934362686
15.98,0.2104033130961915,-0.0914049954102645,0.2136223117176455,-0.9119757804731594,1.4296798554120107,9.774658718397188
15.99,0.21024721248975456,-0.09087034248251415,0.2137038905241246,-0.8974293366325299,1.4808733057482888,9.770695403444401
16.0,0.21007752845838,-0.09033304459480551,0.21378008182391714,-0.88274292960485,1.5319175280877526,9.766550565787979
16.01,0.20989426754431384,-0.08979316023092211,0.21385086242687282,-0.8679178642745073,1.5828072469606687,9.762225432755862
16.02,0.2096974371804041,-0.08925074792264648,0.21391620975795086,-0.8529554752333726,1.6335372114667273,9.757721291570217
16.03,0.20948704569033225,-0.08870586623853546,0.2139761018604375,-0.8378571265399559,1.684102196242641,9.753039488910684
16.04,0.20926310228878625,-0.0881585737726853,0.2140305173989784,-0.8226242114717831,1.734497002421116,9.748181430455167
16.05,0.2090256170815715,-0.08760892913348707,0.2140794356624263,-0.80725815227101,1.784716458581259,9.743148580398525
16.06,0.20877460106566167,-0.0870569909323795,0.2141228365665034,-0.7917603998834477,1.8347554216895157,9.737942460949263
16.07,0.20851006612918876,-0.08650281777259823,0.21416070065628004,-0.7761324336909059,1.8846087780312875,9.732564651804509
16.080000000000002,0.20823202505137317,-0.0859464682379314,0.21419300910846767,-0.760375761237124,1.934271444132245,9.727016789603502
16.09,0.20794049150239088,-0.08538800088147813,0.21421974373352914,-0.7444919179472191,1.983738367669524,9.721300567359771
16.1,0.2076354800431807,-0.08482747421441811,0.2142408869776045,-0.7284824668407571,2.0330045283721168,9.715417733872393
16.11,0.20731700612519202,-0.08426494669479667,0.21425642192425345,-0.7123489982386266,2.0820649389099595,9.709370093116478
16.12,0.20698508609006738,-0.08370047671632291,0.21426633229601638,-0.6960931294636235,2.1309146457718606,9.703159503613172
16.13,0.20663973716926798,-0.08313412259719313,0.2142706024557922,-0.6797165045350304,2.1795487301312484,9.696787877779524
16.14,0.20628097748363491,-0.08256594256893429,0.21426921740803537,-0.6632207938570589,2.2279623087000333,9.690257181258447
16.15,0.2059088260428907,-0.08199599476527855,0.2142621627997729,-0.6466076939014619,2.2761505345696857,9.68356943222912
16.16,0.2055233027450781,-0.0814243372110667,0.21424942492144142,-0.6298789268842122,2.3241085980396767,9.676726700698094
16.17,0.2051244283759383,-0.08085102781118816,0.21423099070754514,-0.6130362404364751,2.371831727432513,9.669731107771455
16.18,0.20471222460822752,-0.08027612433955823,0.2142068477371375,-0.5960814072698867,2.4193151898954164,9.662584824908405
16.19,0.20428671400097073,-0.07969968442813721,0.2141769842341245,-0.579016224836254,2.466554292188156,9.655290073156506
16.2,0.20384791999865562,-0.0791217655559956,0.2141413890673944,-0.5618425149817983,2.513544381456631,9.647849122369
16.21,0.20339586693036332,-0.0785424250384262,0.2141000517507717,-0.544562123595964,2.5602808459922506,9.640264290404584
16.22,0.20293058000883848,-0.0779617200161111,0.2140529624427993,-0.5271769202550142,2.606759115976348,9.632537942309899
16.23,0.20245208532949585,-0.07737970744433989,0.2140001119463487,-0.5096887978603298,2.6529746642099026,9.624672489485214
16.240000000000002,0.2019604098693685,-0.07679644408229144,0.21394149170805976,-0.49209967227172424,2.698923006827698,9.616670388833603
16.25,0.20145558148599033,-0.07621198648237404,0.2138770938176125,-0.47441148193570115,2.7445997039972188,9.608534141894014
16.26,0.2009376289162183,-0.07562639097963147,0.21380691100683108,-0.4566261875088057,2.7900003606017294,9.600266293958649
16.27,0.20040658177499543,-0.07503971368122025,0.21373093664862286,-0.43874577147627325,2.8351206269071842,9.591869433175034
16.28,0.19986247055404663,-0.07445201045595429,0.21364916475575313,-0.4207722377658849,2.8799561992132103,9.583346189633131
16.29,0.1993053266205183,-0.0738633369239291,0.2135615899794584,-0.40270761135736155,2.924502820487312,9.574699234438016
16.3,0.19873518221555223,-0.0732737484462199,0.2134682076078985,-0.38455393788716064,2.9687562809826926,9.565931278768366
16.31,0.19815207045280026,-0.07268330011466415,0.21336901356445098,-0.36631328324902734,3.0127124188389884,9.55704507292139
16.32,0.19755602531687488,-0.07209204674172597,0.2132640044058487,-0.3479877331901986,3.0563671206661454,9.548043405344396
16.330000000000002,0.19694708166174074,-0.0715000428504493,0.21315317732016262,-0.3295793929035137,3.099716322110873,9.538929101653624
16.34,0.19632527520904255,-0.07090734266450058,0.21303653012463258,-0.31109038661546407,3.1427560084058213,9.529705023640629
16.35,0.19569064254637156,-0.07031400009830399,0.21291406126334653,-0.29252285717030846,3.1854822149011897,9.520374068266747
16.36,0.19504322112547182,-0.06972006874727428,0.21278576980477246,-0.27387896561040626,3.2278910275784876,9.510939166646041
16.37,0.1943830492603834,-0.0691256018781462,0.21265165543914366,-0.25516089075278914,3.2699785835466417,9.501403283017188
16.38,0.19371016612552516,-0.06853065241940817,0.21251171847569958,-0.23637082876222926,3.311741071519899,9.49176941370474
16.39,0.1930246117537144,-0.06793527295183693,0.21236595983978532,-0.2175109927207144,3.3531747322778687,9.482040586070237
16.4,0.1923264270341293,-0.06733951569914336,0.21221438106981194,-0.1985836121936867,3.3942758591070743,9.472219857453608
16.41,0.19161565371020375,-0.06674343251872326,0.21205698431407874,-0.17959093279290994,3.4350407982245144,9.462310314105318
16.42,0.19089233437746705,-0.06614707489252487,0.21189377232746168,-0.16053521573632268,3.4754659491825457,9.452315070109737
16.43,0.19015651248132004,-0.06555049391802815,0.2117247484679691,-0.1414187374047816,3.5155477652554525,9.442237266300175
16.44,0.1894082323147476,-0.06495374029934138,0.21154991669316767,-0.12224378889592291,3.555282753807547,9.43208006916607
16.45,0.18864753901597597,-0.06435686433842008,0.211369281556481,-0.10301267557530869,3.594667476642463,9.421846669752767
